iso3c,year,ca_gdp
RUS,2019,3.87612476973049
RUS,2018,6.97989872935135
RUS,2017,2.04412673615753
RUS,2016,1.91643731021353
RUS,2015,4.97088857375125
RUS,2014,2.79290979175164
RUS,2013,1.45817388483059
RUS,2012,3.22793090052757
RUS,2011,4.75452652542426
RUS,2010,4.4233366535099
RUS,2009,4.12086933736946
RUS,2008,6.25797161157479
RUS,2007,5.55457619335894
RUS,2006,9.32544491399994
RUS,2005,11.0454169715192
RUS,2004,9.90832254287658
RUS,2003,7.69799200510312
RUS,2002,7.9523289090993
RUS,2001,10.4545347443772
RUS,2000,17.4742424828314
RUS,1999,11.6664565462153
RUS,1998,0.026225709921156
RUS,1997,-0.206268282708236
RUS,1996,2.57898342400441
RUS,1995,1.88045783512905
RUS,1994,2.26332668866148
RWA,2020,-12.0648128308305
RWA,2019,-11.8932238048423
RWA,2018,-10.1142510894979
RWA,2017,-9.46048176908828
RWA,2016,-15.305126232999
RWA,2015,-12.6837769389105
RWA,2014,-11.3438929928213
RWA,2013,-7.48220331305966
RWA,2012,-9.68045842086916
RWA,2011,-6.92834416704242
RWA,2010,-6.51687014325837
WSM,2020,-8.715956952862
WSM,2019,3.73223650537796
WSM,2018,2.68908513860988
WSM,2017,-1.07027554451417
WSM,2016,-4.5540235736258
WSM,2015,-1.54215771746012
WSM,2014,-5.83183311325533
WSM,2013,-5.60710703051041
WSM,2012,-0.996591960794167
WSM,2011,-10.9186849756524
WSM,2010,-9.04869884205239
WSM,2009,-1.7841761422503
WSM,2008,-8.45819641302631
WSM,2007,-7.97773344777515
WSM,2006,-15.3383144136502
WSM,2005,-9.96935129792267
WSM,2004,-6.41494641654138
WSM,1999,-7.35722818333087
WSM,1998,7.45507593548311
WSM,1997,3.19720511092474
WSM,1996,4.91291970769425
WSM,1995,4.1497070693313
WSM,1994,2.60663883713025
WSM,1993,-28.3061414919853
WSM,1992,-39.6781988739143
WSM,1991,-20.3493289883908
WSM,1990,6.85366683064084
WSM,1989,12.1083645850887
WSM,1988,7.68976427310615
WSM,1987,10.0240971484575
WSM,1986,11.054734080395
WSM,1985,2.01784227978729
SMR,2020,2.7886171824262602
SMR,2019,2.03432964520439
SMR,2018,-1.8872752884789
SMR,2017,-0.391282695967683
STP,2020,-12.64674361519
STP,2019,-21.799320591176
STP,2018,-19.5798259962622
STP,2017,-22.7156290253769
STP,2016,-21.0403152023302
STP,2015,-26.4207009685278
STP,2014,-35.4587784381715
STP,2013,-30.4299465368537
STP,2012,-43.7836821673181
STP,2011,-46.7031436146432
STP,2010,-46.0873607998782
STP,2009,-39.2591791041684
STP,2008,-49.7318439586792
STP,2007,-43.1433732431771
